id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,city
6545059,Rental unit in Montréal · ★4.05 · 3 bedrooms · 4 beds · 1 bath,16441080,Well,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.50824,-73.63066,Entire home/apt,100,31,22,2022-11-18,0.23,7,315,1,,Montreal
6039486,Home in Montréal · ★4.78 · 5 bedrooms · 8 beds · 2 baths,29894548,Nina,,Mercier-Hochelaga-Maisonneuve,45.55825,-73.53093,Entire home/apt,1032,2,83,2023-01-01,0.89,1,313,11,279300,Montreal
4678938,Rental unit in Montréal · ★4.88 · 2 bedrooms · 2 beds · 1 bath,2163095,Marian,,Ville-Marie,45.51838,-73.55921,Entire home/apt,199,31,68,2022-11-08,0.68,1,114,15,,Montreal
6558609,Home in Montréal · ★4.56 · 1 bedroom · 1 bed · 1 private bath,32068321,Bonnie,,Villeray-Saint-Michel-Parc-Extension,45.53249,-73.6376,Private room,30,90,18,2020-12-31,0.19,3,5,0,,Montreal
4679950,Rental unit in Montréal · ★4.80 · 1 bedroom · 1 bed · 1 bath,12696106,Sudhir,,Le Plateau-Mont-Royal,45.51743,-73.58041,Entire home/apt,75,31,61,2023-04-01,0.6,2,193,4,,Montreal
4692378,Rental unit in Montréal · ★4.97 · 3 bedrooms · 3 beds · 1 bath,24258186,François,,Verdun,45.46744,-73.57063,Entire home/apt,86,60,31,2023-04-29,0.32,1,248,3,,Montreal
6559850,Rental unit in Montréal · ★4.82 · 2 bedrooms · 2 beds · 1 bath,6720816,Amy,,Le Plateau-Mont-Royal,45.51346,-73.57011,Entire home/apt,172,31,67,2022-12-23,0.71,2,279,2,,Montreal
4700691,Rental unit in Montreal · ★4.84 · 2 bedrooms · 3 beds · 1 bath,24290215,Yann,,Le Plateau-Mont-Royal,45.53088,-73.57879,Entire home/apt,204,2,83,2023-04-26,0.84,19,181,24,247671,Montreal
6053345,Rental unit in Montréal · 2 bedrooms · 2 beds · 1 bath,31411616,Nicholas,,Le Plateau-Mont-Royal,45.51642,-73.57426,Entire home/apt,80,180,0,,,1,365,0,,Montreal
6076880,Rental unit in Montréal · ★4.88 · 2 bedrooms · 2 beds · 1 bath,31543037,Faye,,Ville-Marie,45.49128,-73.57939,Entire home/apt,180,5,81,2023-04-14,0.83,1,112,27,305171,Montreal
6586243,Bed and breakfast in Montréal · ★3.75 · 1 bedroom · 1 bed · 1 shared bath,4847479,Ephraim,,Le Plateau-Mont-Royal,45.51572,-73.56921,Private room,132,1,4,2019-10-12,0.04,6,38,0,,Montreal
6087774,Rental unit in Montréal · ★4.73 · 1 bedroom · 1 bed · 1 bath,31593546,Leo,,Le Plateau-Mont-Royal,45.53385,-73.5822,Private room,60,31,14,2023-03-18,0.14,1,0,1,,Montreal
7618513,Rental unit in Montréal · ★4.88 · 2 bedrooms · 2 beds · 1 bath,39955896,Michel Et Nicole,,Mercier-Hochelaga-Maisonneuve,45.56992,-73.52616,Entire home/apt,132,2,391,2023-05-07,4.14,1,208,43,287980,Montreal
6590617,Rental unit in Montréal · ★4.85 · 3 bedrooms · 3 beds · 1 bath,34482763,Nathalie,,Ahuntsic-Cartierville,45.55479,-73.66718,Entire home/apt,145,5,48,2023-04-10,0.51,1,210,18,279915,Montreal
7650803,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,1803138,MFS - Maria,,Ahuntsic-Cartierville,45.54237,-73.64542,Entire home/apt,80,35,2,2016-08-26,0.02,5,34,0,,Montreal
6117090,Rental unit in Montréal · 1 bedroom · 2 beds · 1 bath,25646950,Eric,,Ville-Marie,45.51276,-73.56641,Entire home/apt,65,180,2,2016-08-01,0.02,7,306,0,,Montreal
6130229,Bed and breakfast in Montréal · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,4847479,Ephraim,,Le Plateau-Mont-Royal,45.51572,-73.56904,Private room,129,1,4,2016-10-04,0.04,6,3,0,,Montreal
6134036,Home in Montréal · ★4.57 · 1 bedroom · 1 bed · 2 shared baths,31822751,Yuan,,Saint-Laurent,45.51369,-73.66125,Private room,27,32,25,2023-04-06,0.26,7,202,3,,Montreal
6611969,Rental unit in Montreal · ★4.91 · 3 bedrooms · 3 beds · 2 baths,34599357,Eric,,Le Plateau-Mont-Royal,45.52198,-73.58012,Entire home/apt,486,3,22,2022-10-22,0.23,1,224,14,308907,Montreal
6134740,Rental unit in Montreal · ★4.91 · 1 bedroom · 2 beds · 1 bath,23738150,Tiziano,,Ville-Marie,45.50971,-73.55458,Entire home/apt,236,31,46,2023-04-11,0.47,4,319,35,,Montreal
7651945,Rental unit in Montréal · ★5.0 · 2 bedrooms · 2 beds · 2 baths,4146799,Louis-Philippe,,Ville-Marie,45.519,-73.56564,Entire home/apt,140,31,23,2020-03-13,0.28,1,0,0,,Montreal
6624051,Rental unit in Montréal · ★4.80 · Studio · 1 bed · 1 bath,1229488,Marilou,,Ahuntsic-Cartierville,45.54782,-73.6368,Entire home/apt,60,60,114,2023-04-23,1.18,2,260,5,,Montreal
7663332,Rental unit in Montréal · ★4.65 · 2 bedrooms · 2 beds · 1.5 baths,2909959,Cottages Montréal,,Ville-Marie,45.51851,-73.55468,Entire home/apt,196,2,21,2023-05-03,0.22,3,104,10,217946,Montreal
7698799,Rental unit in Montréal · ★4.80 · 3 bedrooms · 4 beds · 1 bath,40436918,Rodica,,Mercier-Hochelaga-Maisonneuve,45.57649,-73.55099,Entire home/apt,150,5,92,2023-01-15,0.98,1,169,9,302655,Montreal
6169698,Rental unit in Montréal · ★4.76 · Studio · 1 bed · 1 bath,25646950,Eric,,Ville-Marie,45.50769,-73.56964,Entire home/apt,75,31,67,2023-04-10,0.71,7,257,20,,Montreal
6182564,Guest suite in Montréal · ★4.95 · 1 bedroom · 2 beds · 1 bath,32068321,Bonnie,,Villeray-Saint-Michel-Parc-Extension,45.53226,-73.63913,Entire home/apt,50,7,96,2023-03-16,0.99,3,89,14,312006,Montreal
6644522,Rental unit in Montréal · ★4.63 · 1 bedroom · 1 bed · 1 bath,34726528,Varvara,,Le Plateau-Mont-Royal,45.52077,-73.57021,Entire home/apt,215,2,163,2023-05-03,1.69,1,92,22,285876,Montreal
6185608,Rental unit in Montréal · ★4.78 · 1 bedroom · 1 bed · 1 bath,6530888,Marie-Andrée Et Stéphane,,Le Plateau-Mont-Royal,45.53411,-73.58377,Entire home/apt,54,120,69,2019-08-31,0.71,2,0,0,,Montreal
6186448,Rental unit in Montréal · ★4.62 · Studio · 2 beds · 1 bath,23262312,Marc,,Le Plateau-Mont-Royal,45.53464,-73.57172,Entire home/apt,80,1,213,2023-04-25,2.18,1,9,35,308163,Montreal
6238159,Loft in Montréal · ★4.89 · 1 bedroom · 1 bed · 1 bath,2666170,Alex,,Le Plateau-Mont-Royal,45.53319,-73.58308,Entire home/apt,88,32,299,2022-11-30,3.08,2,255,1,,Montreal
7709142,Home in Montréal · ★4.50 · 1 bedroom · 2 beds · 1 shared bath,40497800,Lorenzo,,LaSalle,45.42668,-73.60452,Private room,40,31,12,2022-09-04,0.3,4,365,1,,Montreal
7727076,Rental unit in Côte Saint-Luc · ★4.50 · 1 bedroom · 1 bed · 1 bath,40601106,Maxime,,Côte-Saint-Luc,45.47585,-73.66134,Entire home/apt,53,31,22,2023-03-26,0.23,1,296,3,,Montreal
7775667,Loft in Hampstead · ★4.91 · 1 bedroom · 1 bed · 1 bath,40904499,"Reg, Family&Co.",,Hampstead,45.48491,-73.64265,Entire home/apt,178,2,105,2020-03-14,1.12,1,304,0,309495,Montreal
7775898,Rental unit in Montréal · ★4.78 · 2 bedrooms · 2 beds · 1 bath,10994988,Lam,,Rosemont-La Petite-Patrie,45.55125,-73.58159,Entire home/apt,60,150,9,2021-12-19,0.13,1,1,0,,Montreal
6646020,Condo in Montréal · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,23049089,Claudel,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46874,-73.61305,Entire home/apt,75,179,3,2017-06-24,0.03,1,365,0,,Montreal
10149370,Rental unit in Montréal · 2 bedrooms · 2 beds · 1 bath,52089071,Betts,,Le Plateau-Mont-Royal,45.53083,-73.57771,Entire home/apt,114,999,0,,,1,89,0,,Montreal
6662080,Rental unit in Montréal · ★5.0 · 1 bedroom · 1 bed · 1 bath,34871499,Jean,,Rosemont-La Petite-Patrie,45.54733,-73.58788,Entire home/apt,78,31,8,2017-07-03,0.09,1,0,0,,Montreal
10164430,Rental unit in Montréal · ★4.63 · 3 bedrooms · 3 beds · 1 bath,29925103,Ingrid,,Le Plateau-Mont-Royal,45.53825,-73.57114,Entire home/apt,95,60,8,2020-05-23,0.09,1,314,0,,Montreal
7842840,Rental unit in Montréal · ★4.88 · Studio · 1 bed · 1 bath,26240685,Julien,,Mercier-Hochelaga-Maisonneuve,45.55338,-73.55087,Entire home/apt,120,5,17,2019-11-14,0.19,1,0,0,286904,Montreal
6722097,Rental unit in Montréal · ★4.92 · 4 bedrooms · 5 beds · 2 baths,30720639,Jacques,,Rosemont-La Petite-Patrie,45.54116,-73.6071,Entire home/apt,216,3,307,2023-04-30,3.19,2,194,46,282262,Montreal
7852022,Rental unit in Montréal · ★4.59 · 1 bedroom · 2 beds · 1 bath,41273043,Gilles,,Mercier-Hochelaga-Maisonneuve,45.60376,-73.53658,Entire home/apt,33,32,81,2023-04-30,0.86,2,179,5,,Montreal
10201751,Rental unit in Montréal · ★5.0 · 1 bedroom · 1 bed · 1 bath,2154858,Alexandra,,Mercier-Hochelaga-Maisonneuve,45.54616,-73.54377,Entire home/apt,62,32,3,2023-01-02,0.41,1,11,3,,Montreal
6725638,Condo in Montréal · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,7319387,Christian,,Le Plateau-Mont-Royal,45.52269,-73.5771,Private room,86,31,21,2023-01-13,1.62,1,105,19,,Montreal
10251741,Rental unit in Montréal · ★5.0 · 1 bedroom · 1 bed · 1 bath,52698594,Mohamed Aymen,,Ville-Marie,45.5125858,-73.5493937,Entire home/apt,241,1,25,2023-05-05,5.1,1,312,25,311432,Montreal
7903260,Rental unit in Montréal · ★4.65 · 1 bedroom · 1 bed · 1 shared bath,13648338,Nader,,Ville-Marie,45.52118,-73.56476,Private room,35,31,24,2022-09-17,0.26,8,89,2,,Montreal
6746491,Condo in Montréal · ★4.60 · Studio · 1 bed · 1 bath,7250257,Stewie,,Le Plateau-Mont-Royal,45.52472,-73.59554,Entire home/apt,52,120,60,2023-04-30,0.62,17,252,5,965874,Montreal
7913341,Rental unit in Montréal · ★4.67 · 2 bedrooms · 2 beds · 1 bath,38459934,Corporate Stays,,Ville-Marie,45.50478,-73.56313,Entire home/apt,360,31,3,2017-11-19,0.04,29,88,0,,Montreal
10288628,Serviced apartment in Montréal · ★4.97 · 1 bedroom · 2 beds · 1 bath,51144331,Norman G,,Rosemont-La Petite-Patrie,45.53824,-73.6067,Entire home/apt,307,3,66,2023-05-07,2.17,2,274,30,296619,Montreal
