id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
873649,Beautiful & Cozy Chef-centric Apartment,4611527,Monifa,,Cleveland Heights,37.80438,-122.23975,Entire home/apt,133,2,11,2021-08-14,0.09,1,365,0,
883762,Oakland Backyard Studio Apt,4679636,Mark And Shara,,Shafter,37.83717,-122.25739,Entire home/apt,110,1,520,2020-03-10,4.81,1,0,0,
905800,Charming 2 bed/2 bath home in ideal location,4846568,Mark & Ashby,,Piedmont Avenue,37.82795,-122.24861,Entire home/apt,100,30,0,,,1,6,0,
916790,Oakland/Berkeley Light and Color,4922344,Victoria,,Bushrod,37.85094,-122.26846,Private room,67,1,131,2023-03-18,1.08,1,58,4,
931520,Sunny Rm Near Temescal and Piedmont,5017482,Pamela And Richard,,Piedmont Avenue,37.83044,-122.25424,Private room,88,2,204,2023-02-11,1.71,2,84,6,
972802,"Great Neighborhood, Lovely Home! 20% Discount June",149121,Sarah,,Upper Rockridge,37.84064,-122.22655,Entire home/apt,310,30,29,2022-06-24,0.24,1,148,2,
994269,"Home in Montclair, Oakland Hills",5461211,Amy,,Piedmont Pines,37.82897,-122.18938,Entire home/apt,490,3,29,2022-09-27,0.25,1,83,1,
1004408,"Bright, Lofty Penthouse, steps to lake and park!",5357560,Linda,,Adams Point,37.80936,-122.25835,Entire home/apt,110,30,5,2021-05-05,0.04,1,358,0,
1041951,"Gorgeous Sunny Home, Views, Walk Everywhere!",5735798,Mpal,,Lakeshore,37.81496,-122.23444,Entire home/apt,212,30,0,,,1,189,0,
1080469,Incredible San Francisco Bay Views,5942950,Jules,,Claremont,37.85895,-122.23744,Entire home/apt,300,180,0,,,1,0,0,
1101553,Charming Rockridge Cottage - On Sale for March!,2354409,Kate,,Mountain View Cemetery,37.83685,-122.24939,Entire home/apt,95,1,85,2023-03-14,0.82,1,317,3,
1164114,Wooded In-Law,6376595,George & Colleen,,Sequoyah,37.76864,-122.13648,Entire home/apt,185,2,431,2023-02-05,4.11,1,46,24,
1168405,Craftsman owner's unit in duplex,6398930,Stephanie,,Santa Fe,37.83872,-122.2752,Entire home/apt,104,5,52,2016-09-06,0.44,3,170,0,
1189971,Beautiful Separate in-law unit in Oakland Hills,5018883,Chris,,Redwood Heights,37.79345,-122.18118,Entire home/apt,110,3,42,2022-01-05,0.35,2,178,0,
1197379,"ROCKRIDGE GEM -- private, quiet",3046829,Edward,,Shafter,37.84274,-122.25274,Entire home/apt,118,3,433,2023-03-20,3.64,1,136,44,
1251055,The Sunset View House,6816758,Maria,,Redwood Heights,37.79135,-122.18273,Entire home/apt,450,7,17,2023-02-20,0.81,1,57,9,
1251639,Private Stand-Alone Garden Room - Glamping!,407399,Louise,,Golden Gate,37.84167,-122.28449,Private room,67,2,358,2023-01-09,3.05,1,89,10,
1252623,Designer Live/Work Artist Loft,3994305,Sudha,,South Kennedy Tract,37.77291,-122.23119,Private room,94,60,56,2020-01-03,0.51,2,365,0,
1252780,Quiet sunny Victorian playhouse,4226186,Amy,,Santa Fe,37.84191,-122.27111,Private room,59,2,33,2019-11-08,0.28,1,54,0,
1255946,Surrounded by the park yet close to,6841310,Sue,,Skyline-Hillcrest Estates,37.8001,-122.16285,Entire home/apt,400,2,64,2022-11-27,0.77,1,240,17,
1279425,"LOVELY, QUIET OAKLAND HILLS HOME",6962145,Laura,,Redwood Heights,37.78977,-122.18588,Entire home/apt,150,2,0,,,1,363,0,
1280992,Morning Room in North Oakland charmer,6970531,Zoe,,Bushrod,37.85027,-122.26662,Private room,51,2,147,2023-03-05,1.26,3,342,20,
1287662,♡ The MINIMALIST - Modern | Zen | Minimum Impact ♡,4624994,Albena,,Golden Gate,37.83837,-122.28464,Entire home/apt,165,3,221,2023-02-10,1.88,6,159,24,
1331360,Sunny Garden Bedroom W/Private Bath,6723674,Paula,,Upper Rockridge,37.84902,-122.24184,Private room,85,14,10,2015-04-12,0.08,1,363,0,
1353070,Terrace Street Guest Room,7344668,Judy,,Piedmont Avenue,37.83123,-122.25309,Private room,76,2,129,2023-03-11,1.1,1,104,9,
1370751,"Classic Craftsman home,Oakland",3996039,Wanda,,Glenview,37.8038,-122.22456,Entire home/apt,175,7,44,2023-02-05,0.38,2,328,2,
1374864,Peaceful Inlaw studio w/ separate garden entrance,7450071,Mally,,Oakmore,37.81937,-122.20665,Entire home/apt,59,10,21,2019-11-29,0.18,1,40,0,
1393344,Beautiful Old Oakland/DT Condo,7531856,Fatme,,Old City-Produce And Waterfront,37.80127,-122.27535,Entire home/apt,110,7,5,2022-01-11,0.27,1,0,0,
1412799,Beautiful Oakland Hills 3/2 House,7616345,Manuel,,Oakmore,37.80834,-122.21193,Entire home/apt,195,3,134,2020-06-10,1.15,1,0,0,
1451237,1 Bedroom Apartment near Lake Merritt,3383432,Pamela,,Crocker Highland,37.81292,-122.23473,Entire home/apt,111,3,67,2020-02-20,0.57,1,312,0,
1456375,Podcaster Paradise,7810591,Joe,,Merriwood,37.84068,-122.21211,Entire home/apt,120,1,615,2023-03-06,5.36,2,243,43,
1467440,Studio Apt. in  Sunny North Oakland,7860282,Tawnya,,Longfellow,37.83197,-122.26973,Entire home/apt,105,2,201,2022-11-08,1.8,1,0,2,
1484136,Backyard Cottage/Oakland Foothills,7940215,Robert,,Oakmore,37.80413,-122.21065,Entire home/apt,150,10,29,2022-10-09,0.25,1,323,2,
1500134,Serenity Room in N. Oakland Charmer.,6970531,Zoe,,Bushrod,37.84905,-122.26658,Private room,62,2,89,2023-01-22,0.8,3,306,15,
1504107,"Lake Merritt Jr 1 Bedroom + Shared Parking, Fiber",8036224,Mike,,Cleveland Heights,37.80751,-122.24395,Entire home/apt,55,20,67,2023-02-10,0.58,1,188,9,
1505361,In-law in the hills with views 2BR,7056943,Chris,,Claremont,37.85769,-122.23717,Entire home/apt,166,2,228,2023-02-24,1.95,2,158,32,
1515858,"3  Bed Craftsman Home, near Lake Merritt",8072827,Susan,,Adams Point,37.81194,-122.25247,Entire home/apt,325,7,58,2020-02-21,0.55,1,88,0,
1537027,"King bed, nice bathroom, parking, great area",6722695,E.J. Blumberg,,Lakeshore,37.81702,-122.23675,Entire home/apt,125,30,20,2015-10-02,0.18,27,365,0,
1551904,PrivateEntrance Rm&Bath+HotTub.Fast WiFiWorkspace,3654316,Suellen,,Longfellow,37.82953,-122.27458,Private room,89,2,241,2022-09-30,2.07,4,171,7,
1575021,Globally Exotic Spiced Apartment,8372244,Maria,,Grand Lake,37.81646,-122.25047,Entire home/apt,138,1,221,2020-06-21,1.94,1,358,0,
1583317,Private room w/ full house,8122672,Brian,,Paradise Park,37.84826,-122.28344,Private room,47,5,63,2023-02-21,0.56,1,141,6,
1615052,"""Sky Room"" Private En Suite & Seven Item Breakfast",6136664,Dan & Traci,,Fairview Park,37.85281,-122.25686,Private room,77,2,647,2023-03-16,5.63,2,308,77,
1640040,2Stops2SF - Modern Space HiSpeedWiFi close to BART,4888344,Regina,,Downtown,37.80495,-122.27605,Private room,63,5,412,2023-03-19,3.59,1,77,36,
1641978,Retreat in the Oakland hills,4110624,Jana,,Sequoyah,37.76214,-122.14691,Entire home/apt,223,2,35,2023-02-20,0.37,1,266,3,
1646062,The GARDENER - Modern | Minimalist | Urban Oasis ♡,4624994,Albena,,Golden Gate,37.83807,-122.28293,Entire home/apt,165,3,20,2020-10-24,0.17,6,82,0,
1659839,"Charming cottage, great wifi, best area",6722695,E.J. Blumberg,,Lakeshore,37.81618,-122.23746,Entire home/apt,120,31,51,2022-09-18,0.44,27,358,1,
1854352,"Family-friendly Rockridge: 2 bdrm, huge yard",7698154,Erin And Josh,,Fairview Park,37.84321,-122.2592,Entire home/apt,229,3,102,2023-03-05,0.9,1,91,3,
1855069,Charming House! (Berk./Oak. Border),9682837,Erika,,Bushrod,37.85001,-122.26743,Private room,66,3,185,2023-02-24,1.63,1,70,20,
1873261,Light filled room in Montclair,9760734,Eric,,Forestland,37.8412,-122.20479,Private room,77,30,30,2018-08-02,0.27,3,328,0,
1876416,Temescal Retreat.  5 minute walk to BART,7382853,Marie,,Mosswood,37.82717,-122.26276,Private room,65,2,243,2023-03-23,4.55,1,61,82,
1883727,Redwood retreat near the city,9132260,Diana,,Piedmont Pines,37.83207,-122.18558,Entire home/apt,200,3,133,2017-01-23,1.22,1,23,0,
1908936,Contemporary space in Montclair,9760734,Eric,,Merriwood,37.83911,-122.20601,Private room,68,30,79,2019-10-02,0.7,3,83,0,
1914270,Private Backyard Cottage,609011,Mosa,,Upper Laurel,37.79908,-122.19924,Entire home/apt,60,3,533,2023-03-06,4.77,1,7,30,
1919711,Redone Craftsman in Temescal,9667769,Jake,,Longfellow,37.83624,-122.27216,Entire home/apt,275,4,87,2023-03-06,0.77,2,319,12,
1936724,Bed/bath in the Glenview,3136436,Alicia,,Glenview,37.80668,-122.2162,Entire home/apt,74,2,231,2023-03-19,2.21,1,348,29,
