id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,city
43110127.0,Lovely 1 Bedroom Apartment in Columbus!,158439641,GH Hospitality,,Downtown,39.95706,-82.99516,Entire home/apt,93,1,95,2023-03-19,2.66,97,359,37,2022-3365,Columbus
43111171.0,High End 1BR Apartment - Columbus City Views!,158439641,GH Hospitality,,Downtown,39.9559,-82.99448,Entire home/apt,81,1,94,2023-03-19,2.61,97,360,25,2022-3366,Columbus
43111195.0,MODERN ONE BEDROOM APT WITH GYM & FREE PARKING,158439641,GH Hospitality,,Downtown,39.95745,-82.99505,Entire home/apt,77,1,95,2023-03-19,2.66,97,329,39,2022-3367,Columbus
43122677.0,The Cellar - Fully Renovated Unit in Clintonville,226592539,Nesip,,Clintonville,40.034374,-83.009888,Entire home/apt,69,2,65,2023-03-26,2.12,1,30,27,2021-2764,Columbus
43154301.0,BRAND NEW HUGE LUXURY HOME W/ TERRACE! MUST SEE!,107290958,Joel,,Near North/University,39.98631,-83.00093,Entire home/apt,298,2,103,2023-03-21,2.86,6,253,48,2020-2075,Columbus
43156459.0,HUGE NEW LUXE HOME W/ TERRACE! BEST AIRBNB IN CBUS,107290958,Joel,,Near North/University,39.98537,-82.99953,Entire home/apt,298,2,96,2023-03-12,2.66,6,215,53,2020-2076,Columbus
43348554.0,Schumacher Place/German Village TownHome,29996491,Elaine,,Near South,39.9488,-82.98535,Entire home/apt,83,1,348,2023-03-14,10.24,2,71,125,2019-1470,Columbus
43364480.0,Luxe Downtown Columbus Home| Short North| Plants,109117484,Sergio,,Near North/University,39.97619,-83.00987,Entire home/apt,125,1,352,2023-03-19,10.42,11,361,118,2023-2027,Columbus
43411084.0,"Modern New Luxe Townhome in Short North, BEST Loca",261649006,Alex,,Near North/University,39.9867,-83.00153,Entire home/apt,304,1,131,2023-03-19,3.79,14,308,33,2022-1798,Columbus
43450542.0,Driving Park Cottage,156536279,Mo,,Near South,39.94277,-82.95221,Entire home/apt,79,3,12,2022-07-18,0.71,1,85,6,2021-2310,Columbus
43554862.0,Long Term Three Bedroom Perfect for Travel Nurses,347660271,Breezeway Homes,,Hilltop,39.96047,-83.07179,Entire home/apt,87,30,6,2022-12-19,0.18,3,0,3,,Columbus
43770667.0,Rest and Recharge 3,143950108,William,,South Linden,39.98793,-82.9431,Private room,40,30,0,,,4,0,0,,Columbus
43770738.0,Rest a while 2.,143950108,William,,South Linden,39.98977,-82.9431,Private room,45,30,0,,,4,0,0,,Columbus
43770743.0,Cozy Room 4,143950108,William,,South Linden,39.98943,-82.94322,Private room,45,30,4,2022-11-07,0.19,4,180,2,,Columbus
43804124.0,Industrial Flat - EJ Thomas Factory - Short North,194281106,Nicole,,Near North/University,39.984802,-83.000122,Entire home/apt,73,1,242,2023-03-25,7.23,37,200,106,2023-2208,Columbus
43806645.0,"Walk to Campus Studio ✰ High St, Free Parking",325932974,Marc And Darius,,Near North/University,39.99681,-83.00525,Entire home/apt,48,1,62,2023-02-20,1.92,24,177,22,2022-2184,Columbus
43840767.0,Rustic/Modern Downtown Oasis,350643473,Benjamin,,Near East,39.96921,-82.97493,Entire home/apt,196,1,279,2023-03-22,8.69,1,243,102,2021-2523,Columbus
43859466.0,Garden Level | Tons of Entertaining Amenities,33615979,Charlotte,,Near North/University,39.97885,-83.01064,Entire home/apt,122,1,137,2023-02-25,4.22,3,33,43,2021-2732,Columbus
43872297.0,The Victorian Greenhouse 🌿 King Bd/Prvate Parking,325932974,Marc And Darius,,Near North/University,39.98223,-83.00699,Entire home/apt,85,1,235,2023-03-25,7.07,24,52,72,2019-2091,Columbus
43897658.0,Bohemian Flat - Short North - Free Parking,194281106,Nicole,,Near North/University,39.980816,-82.998802,Entire home/apt,79,1,181,2023-03-26,5.45,37,209,76,2023-2211,Columbus
43911223.0,✨Travelers Paradise!✨-Central Downtown/Ohio State,44467878,Joe,,West Olentangy,39.989819,-83.042885,Entire home/apt,64,1,87,2023-03-25,10.44,4,138,87,2022-3537,Columbus
43915950.0,$500 off Price reflects discount,214007946,Marlan,,Near North/University,40.0051,-83.00929,Entire home/apt,80,30,0,,,1,0,0,,Columbus
43927680.0,Italian Village- Short North Home- private parking,135685330,Jessica,,Near North/University,39.98246,-82.99725,Entire home/apt,175,3,99,2023-03-19,2.98,2,167,23,2021-2384,Columbus
44020582.0,Downtown Columbus home - Close to everything!,352794556,Chanel,,Near East,39.96005,-82.97577,Entire home/apt,90,30,9,2022-12-17,0.29,2,353,3,,Columbus
44087254.0,Entire Residential House:  Newly Updated,113737890,Ron,,Near North/University,39.99279,-82.99548,Entire home/apt,175,2,24,2023-03-26,2.07,1,333,24,2022-4237,Columbus
44121484.0,2 Car Garage | Prime Location | Private Yard,296308078,Amanda,,Near South,39.95199,-82.99376,Entire home/apt,161,1,140,2023-03-26,4.4,5,67,46,2021-2807,Columbus
44139649.0,Spacious 2 BR 2 Bath 3 Level Townhouse,354911087,Samuel,,Rocky Fork-Blacklick,40.05659,-82.84832,Entire home/apt,109,2,96,2023-02-20,3.12,1,15,28,2020-1724,Columbus
44155450.0,Housepitality - The Brandenburg Suite - Efficiency,26958698,Benjamin,,Downtown,39.95354,-82.99559,Entire home/apt,86,1,94,2023-03-16,2.93,55,337,22,2023-2137,Columbus
44204541.0,"Comfortable, updated 2 bedroom basement apartment",243881747,Su,,Clintonville,40.06229,-83.01661,Private room,100,2,82,2023-03-05,2.67,2,78,27,2020-1747,Columbus
44253177.0,Pet Friendly | Historic Neighborhood,296308078,Amanda,,Near South,39.95108,-82.99395,Entire home/apt,146,1,120,2023-03-22,4.74,5,60,68,2021-2806,Columbus
44261057.0,New Build Luxury Townhome | Heart of Short North w,261649006,Alex,,Near North/University,39.98603,-83.00164,Entire home/apt,272,1,104,2023-03-19,3.25,14,334,23,2022-1765,Columbus
44316773.0,The Goodale Park Studio,52174539,Kate & Nat,,Near North/University,39.97806,-83.0078,Entire home/apt,61,2,94,2023-03-19,2.96,30,145,37,2022-1255,Columbus
44493981.0,★ Under the Sea ★ Private Home with Game Room ★,90062227,Sam,,Near South,39.94362,-82.96542,Entire home/apt,99,2,99,2023-03-09,3.09,9,257,26,2023-2010,Columbus
44534134.0,Cottage close to downtown Columbus,360227053,Jodee,,Near South,39.94064,-82.98374,Entire home/apt,129,2,70,2023-03-05,2.53,1,158,16,2020-1971,Columbus
44545876.0,"FANTASTIC PLACE 2 Near OSU Med, Downtown, etc",217660325,Jin,,Near North/University,39.99177,-83.00791,Entire home/apt,840,2,3,2022-11-27,0.25,48,191,2,2022-1124,Columbus
44586892.0,The Playful London Flat—DOWNTOWN/ARENA/CONV CENTER,116400313,Nate,,Downtown,39.96545,-82.99836,Entire home/apt,118,30,16,2022-10-20,0.5,23,177,3,2019-1911,Columbus
44588678.0,OSU High St Studio 🕊 Parking / 200Mb WIFI / KTCHN,325932974,Marc And Darius,,Near North/University,39.99738,-83.00574,Entire home/apt,54,1,68,2023-03-24,2.17,24,87,22,2022-2177,Columbus
44589731.0,"Ohio State Comfort 🌾 Free PRKG, Walk to High St!",325932974,Marc And Darius,,Near North/University,39.99757,-83.00408,Private room,54,1,141,2023-03-19,4.44,24,147,37,2022-2173,Columbus
44593129.0,"Chic Loft of Short North✨ Walk High St, Full KTCHN",325932974,Marc And Darius,,Near North/University,39.98729,-83.00394,Entire home/apt,76,1,196,2023-03-19,6.16,24,1,54,2020-1114,Columbus
44595231.0,GermanVillage_Private Parking Children'sHospital B,249951812,Jessie,,Near South,39.94789,-82.98527,Entire home/apt,83,1,133,2023-02-28,4.2,20,115,48,2023-2508,Columbus
44998711.0,★ Lion Safari ★ Private Home with Game Room ★,90062227,Sam,,Near South,39.93997,-82.98188,Entire home/apt,129,2,92,2023-03-19,2.93,9,265,25,2023-2008,Columbus
45055935.0,Luxury Room Olde Towne East near Downtown,119659878,Kay,,Near East,39.95433,-82.9684,Private room,48,2,33,2022-12-04,1.06,7,357,8,2022-1369,Columbus
45105388.0,The Goodale Park Overlook (Suite),52174539,Kate & Nat,,Near North/University,39.97792,-83.00941,Entire home/apt,73,2,72,2023-03-19,2.31,30,180,27,2022-1221,Columbus
45177532.0,Private room+2 sweet cats between Short North/OSU!,24519205,Darrin,,Near North/University,39.9923,-83.01019,Private room,35,14,26,2023-03-01,1.27,4,43,5,2020-4321,Columbus
45224030.0,Cozy home near OSU and local shops and restaurants,365336201,Ryan,,Clintonville,40.05331,-83.01805,Entire home/apt,147,2,103,2023-03-27,3.33,1,113,45,2020-1770,Columbus
45266428.0,"OSU Retreat 💎 Wifi Workspace, Kitchen, Free PRKG",325932974,Marc And Darius,,Near North/University,39.99686,-83.00402,Entire home/apt,55,1,138,2023-03-20,4.53,24,51,48,2020-1189,Columbus
45268001.0,Cute and Cozy 3 Bedroom Ranch Home,67826667,Jordan,,Far Northwest,40.10939,-83.06077,Entire home/apt,153,2,128,2023-03-22,4.17,7,297,59,2022-2841,Columbus
45285595.0,PrivateParking/Entrance_OSU/ExpoCentr 9B Renovated,249951812,Jessie,,Near North/University,39.99555,-82.99726,Entire home/apt,81,1,110,2023-03-13,3.56,20,110,43,2023-2385,Columbus
45302190.0,Housepitality - Top Choice Flat - Great Location,26958698,Benjamin,,Near South,39.94946,-82.98334,Entire home/apt,111,1,76,2023-03-15,2.46,55,361,31,2021-2660,Columbus
45328701.0,Complete Home-Privacy/Security and Great Location,294363064,Robert,,Near North/University,39.99128,-83.00044,Entire home/apt,428,2,19,2022-03-07,0.74,1,155,0,2020-2182,Columbus
45420175.0,The Executive's Escape  - 10 Mins From OSU - Free Parking + Washer/Dryer!,27280979,Jesse,,Franklinton,39.95662,-83.01111,Entire home/apt,149,30,0,,,19,0,0,,Columbus
45423798.0,"Short North/OSU - 1 queen bed, off-street parking",120135691,Jill,,Near North/University,39.98721,-83.00642,Entire home/apt,94,2,23,2023-03-18,2.74,1,67,23,2022-2135,Columbus
45523968.0,Home Away From Home While You Wait!,157989015,Shawnda,,Far South,39.89049,-82.92547,Entire home/apt,82,30,1,2021-08-31,0.05,1,0,0,2020-2143,Columbus
45531171.0,"Private House in Old North/SOHUD, No Cleaning Fee",4965048,Mathew,,Near North/University,40.01257,-83.00159,Entire home/apt,99,1,87,2023-02-26,2.88,8,50,6,2019-1314,Columbus
45531352.0,"ºBIG TOWNHOUSEº Near OSU, Downtown CBUS, etc.",217660325,Jin,,Near North/University,40.01717,-83.01134,Entire home/apt,909,2,10,2022-12-26,1.01,48,316,10,2022-1077,Columbus
45558699.0,The Wellington,331059818,Bella,,Near North/University,40.00228,-83.0083,Private room,1015,300,0,,,1,0,0,,Columbus
45565566.0,Backyard Oasis CBus Sport House w/Driveway Parking,63784636,Chris,,Franklinton,39.95173,-83.03184,Entire home/apt,71,1,204,2023-03-13,7.03,5,112,80,2022-3331,Columbus
45671406.0,Rest assured 5,143950108,William,,South Linden,39.98802,-82.94178,Private room,45,30,7,2022-11-06,0.24,4,180,4,,Columbus
45733584.0,"*Cute* 3B Apt. Near Children's, Downtown, & OTE",54769683,Annie,,Near South,39.9464,-82.9758,Entire home/apt,81,1,101,2023-03-05,3.39,13,180,29,2021-2944,Columbus
45736134.0,Comfy 3B pet friendly near Children's/Downtown/OTE,54769683,Annie,,Near South,39.94707,-82.97636,Entire home/apt,81,1,92,2023-02-18,3.07,13,174,26,2021-2945,Columbus
45742364.0,The House Hotels - W. Frankfort St. 2 - German Village - 10 mins to Downtown,10031170,The House Hotels,,Near South,39.94651,-82.99791,Entire home/apt,144,30,74,2022-11-27,2.5,10,271,23,2019-1354,Columbus
45773044.0,The Goodale Park Overlook,52174539,Kate & Nat,,Near North/University,39.977,-83.00932,Entire home/apt,180,2,26,2023-03-06,0.91,30,180,14,2022-1221,Columbus
45887439.0,OSU North Campus Security Building 2BR Apartment#1,2155166,Leah,,Near North/University,40.00685,-83.01858,Entire home/apt,30,30,0,,,2,288,0,,Columbus
45902943.0,OSU North Campus Security Building 2BR Apt 1 room,2155166,Leah,,West Olentangy,40.00832,-83.02018,Private room,30,30,1,2020-12-31,0.04,2,324,0,,Columbus
45913412.0,Whole House German Village - Frankfort,10031170,The House Hotels,,Near South,39.94634,-82.99918,Entire home/apt,287,30,5,2022-03-13,0.19,10,267,0,2019-1354,Columbus
45924545.0,★ Trendy Spot Newly Remodeled in the <3 of it all!,273519092,Adriana,,Near East,39.95799,-82.96919,Entire home/apt,155,2,86,2023-03-26,3.09,1,70,27,2020-2183,Columbus
45959021.0,Modern Downtown Luxury Apartment w/ View,224493353,Dom,,Downtown,39.95856,-83.00083,Entire home/apt,119,2,98,2023-03-11,3.33,19,350,45,2023-4425,Columbus
45987335.0,CityWalk- Short North/Arena/Convention Center,356660084,Nia,,Downtown,39.97354,-83.00259,Entire home/apt,101,2,93,2023-03-19,3.4,1,108,48,2020-2217,Columbus
46008624.0,Clintonville Charmer | Walk to Great Restaurants!,52174539,Kate & Nat,,Clintonville,40.04941,-83.02403,Entire home/apt,138,2,26,2023-01-27,0.9,30,176,13,2021-3217,Columbus
46033890.0,Charming Victorian Village Loft,47347495,Lisa,,Near North/University,39.97902,-83.01321,Private room,63,30,8,2022-12-23,0.29,1,157,4,,Columbus
46078953.0,Bexley Mid-Mod Masterpiece near Downtown & Airport,10620281,Robert,,Eastmoor/Walnut Ridge,39.97016,-82.92291,Entire home/apt,166,2,106,2023-03-05,3.94,6,146,54,2023-2083,Columbus
46096380.0,Entire Carriage Home in  Historic German Village,373586753,Amanda,,Near South,39.948,-82.99568,Entire home/apt,113,1,185,2023-03-19,7.38,1,136,75,2021-1013,Columbus
46103636.0,Spacious 2 BR 2.5 BA Townhouse in Olde Towne East,86323915,Jenny,,Near East,39.96363,-82.97106,Entire home/apt,75,30,5,2022-07-30,0.19,1,0,2,,Columbus
46135816.0,"Cheerful 4 bedroom lake view, patio and kitchen.",373862149,Maribel,,Southeast,39.8891336202631,-82.8483634069562,Entire home/apt,308,1,25,2022-12-28,3.57,2,158,25,Exempt,Columbus
46137753.0,Quaint German Village Cottage with Parking Spot,373870735,Robert,,Near South,39.94532,-82.98474,Entire home/apt,174,2,115,2022-12-25,3.96,1,172,40,2020-2064,Columbus
46156642.0,Cheerful 3 Bedrooms kitchen/dining/private office,373862149,Maribel,,Hilltop,39.95856,-83.07002,Entire home/apt,250,1,6,2023-02-26,1.4,2,26,6,2022-3487,Columbus
46159660.0,FREE Parking • Downtown • Short North • Goodale Park • Near Nationwide Arena & Convention Center (The Jungle Book),109117484,Sergio,,Near North/University,39.97494,-83.00873,Entire home/apt,93,1,320,2023-03-25,11.02,11,354,127,2022-2492,Columbus
46190767.0,The Cozy King Lincoln,165232727,McDaniel Management,,Near East,39.96758,-82.97438,Entire home/apt,152,2,73,2023-03-26,2.56,4,48,21,2021-3274,Columbus
46382266.0,"RUSTIC ROULETTE
(newly renovated 3 bdrm/2.5 bath)",6394238,Nikhil,,Near East,39.97096,-82.97204,Entire home/apt,98,3,14,2023-02-26,0.57,3,73,4,2021-1080,Columbus
46394199.0,Spacious 1bd Suite ♥🎶 Inspired by the BEATLES,325932974,Marc And Darius,,Near North/University,39.9873,-83.00257,Entire home/apt,67,1,124,2023-03-25,4.31,24,2,49,2020-1114,Columbus
46429507.0,Cozy private bedroom with queen bed and workspace,65250167,Marina,,Near South,39.93523,-82.98637,Private room,49,1,56,2023-03-12,1.96,3,77,14,2019-3616,Columbus
46430526.0,Cozy little queen bedroom with workspace,65250167,Marina,,Near South,39.93486,-82.98433,Private room,47,1,94,2023-03-05,3.29,3,69,28,2019-3616,Columbus
46435988.0,Majestic Mohawk II • German Village •Schiller Park,10620281,Robert,,Near South,39.94608,-82.99147,Entire home/apt,140,2,128,2023-03-12,4.59,6,171,45,2023-2085,Columbus
46453346.0,Private Chic Home - Downtown Columbus,352794556,Chanel,,Near East,39.96157,-82.97592,Entire home/apt,90,30,3,2022-03-03,0.13,2,361,0,,Columbus
46569295.0,GermanVillage_Private Parking Children'sHospital E,249951812,Jessie,,Near South,39.94893,-82.98411,Entire home/apt,87,1,118,2022-12-11,4.16,20,108,48,2023-2511,Columbus
46569296.0,PrivateParking/Entrance_OSU/ExpoCentr 6D Renovated,249951812,Jessie,,Near North/University,39.99497,-82.998,Entire home/apt,81,1,105,2023-03-12,4.34,20,99,53,2023-2378,Columbus
46580387.0,"Nice 3 bd 1 bth just minutes from OSU, CMH, DWNTWN",48511914,Santoria,,Near East,39.97569,-82.96526,Entire home/apt,149,14,14,2022-11-06,0.72,8,229,3,2021-2214,Columbus
46600463.0,"Little Blue 1 Bed, 1 Bath Studio - RoweRentals",27439453,Ingrid & Mike,,Near North/University,39.97813,-83.00047,Entire home/apt,53,1,79,2023-03-19,2.84,12,127,33,2021-3075,Columbus
46619353.0,Luxe Columbus Home | Mins to Downtown | 3 Bedrooms,376872758,Aaron,,Near South,39.94416,-82.98635,Entire home/apt,192,1,72,2023-03-20,2.7,7,329,22,2021-3526,Columbus
46644706.0,Very nice Apt non smoking is cleaned for every Gus,377031988,Amadou,,Northeast,40.04781,-82.91724,Entire home/apt,150,3,0,,,1,0,0,2019-2020,Columbus
