id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7.55813784291671E+017,Deluxe bedroom The Sono Chicago Bed and Breakfast,2044393,Kevin,,Near North Side,41.90911,-87.64026,Private room,1056,32,0,,,1,365,0,2839035
7.51429502587796E+017,McCormick Place HUGE 3Br/Parking/ping-pong,370154553,Innesa,,Near South Side,41.85576,-87.6251,Entire home/apt,269,2,3,2023-02-19,1.02,16,332,3,2792126
7.55933498202721E+017,Spacious 2BD Bucktown/Wicker Park Penthouse.,74509412,Ruhama,,Logan Square,41.92213,-87.67828,Entire home/apt,250,3,1,2023-01-01,0.38,1,149,1,R22000093572
7.51500083628624E+017,Perfect for Solo/Couple: Studio Well-Equipped Apt,356154157,Jessie,,Lake View,41.93872,-87.66877,Entire home/apt,57,1,9,2023-03-07,2.06,10,168,9,R22000091018
7.51508568271116E+017,"Alluring & Secure Studio, Wi-Fi & NO Cleaning Fee!",356154157,Jessie,,Lake View,41.93424,-87.64394,Entire home/apt,67,1,12,2023-03-12,3.4,10,163,12,R22000086757
7.4500482379821E+017,"Comfortable, Well Curated 1 BDRM (Lincoln Square)",38031977,Robin,,Lincoln Square,41.9747175,-87.6912778,Entire home/apt,107,2,6,2023-03-05,2.31,2,200,6,R22000087793
7.45041703941983E+017,A-Suite: Corner 1br King bed + Private Balcony!,484957190,ChiHausK,,Loop,41.88529,-87.62044,Entire home/apt,111,32,1,2022-12-07,0.29,16,286,1,
7.55934562888126E+017,Spacious Townhome 2 Blocks From Southport Corridor,10107971,Lorri Ann,,Lake View,41.94085,-87.65898,Entire home/apt,175,21,0,,,1,81,0,R22000093194
7.45120890770701E+017,Cozy Chinatown Home by UIC|NWM|Rush|DT|McCormick,17888170,MiLo And Chandra,,Armour Square,41.85424,-87.63549,Entire home/apt,304,28,1,2023-01-29,0.6,7,114,1,R22000094347
7.51566367683122E+017,Beautifully Updated 2-Bedroom Home w/ 3 Beds,235678953,Patricia,,West Town,41.9054,-87.67178,Entire home/apt,146,2,16,2023-03-14,3.81,13,294,16,R23000095800
7.56088108425569E+017,Cozy Logan Square/ Close to downtown CHI,95752146,Peter,,Logan Square,41.9143312,-87.7065241,Entire home/apt,124,1,8,2023-02-28,2.33,1,185,8,R22000093852
7.51595175892692E+017,"1 Bed, Shared Bath. Downtown (3)",347797890,Azhar,,Near South Side,41.86434,-87.62489,Private room,75,1,4,2022-12-17,1.04,1,179,4,2664136
7.51742096611773E+017,"Modern, Stylish Chicago Apt w/Free Parking",486139080,Vax,,Near West Side,41.87377,-87.68878,Entire home/apt,222,2,0,,,1,362,0,R22000080006
7.51781887386309E+017,Free Parking - Stylish Chicago Modern Apartment,482660364,Asa,,Logan Square,41.92571,-87.68798,Entire home/apt,110,2,9,2023-03-06,2.41,3,157,9,R21000060516
7.51784070006846E+017,Bright & Spacious Modern Apartment- Free Parking,482660364,Asa,,Logan Square,41.928,-87.68958,Entire home/apt,125,2,14,2023-03-18,3.33,3,0,14,R21000060516
7.519377369687E+017,South Loop 1br nr L & Grant Park,107434423,Blueground,,Loop,41.8676695,-87.6261192,Entire home/apt,113,32,0,,,658,321,0,
7.45634262297311E+017,Hip Music Themed Apartment,12266364,Darin,,West Town,41.9003065521378,-87.6978724068883,Entire home/apt,92,2,4,2023-03-12,4,3,138,4,R22000092603
7.45634270816919E+017,Cozy 1BR Private Apartment Fast Wi-Fi,415539039,David,,Belmont Cragin,41.92927,-87.7631,Entire home/apt,66,1,5,2023-02-19,1.18,2,5,5,R21000069819
